DATE.ADDED.TO.CATALOG	PUBMEDID	FIRST.AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE.TRAIT	INITIAL.SAMPLE.SIZE	REPLICATION.SAMPLE.SIZE	PLATFORM..SNPS.PASSING.QC.	ASSOCIATION.COUNT	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY.ACCESSION	GENOTYPING.TECHNOLOGY
2018-11-12	30038396	Lee JJ	2018-07-23	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30038396	Gene discovery and polygenic prediction from a genome-wide association study of educational attainment in 1.1 million individuals.	Cognitive performance	257,841 European ancestry individuals	NA	Affymetrix, Illumina [10100000] (imputed)	217	cognitive function measurement	http://www.ebi.ac.uk/efo/EFO_0008354	GCST006572	Genome-wide genotyping array
2019-01-09	29273806	Demenais F	2017-12-22	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/29273806	Multiancestry association study identifies new asthma risk loci that colocalize with immune-cell enhancer marks.	Asthma	19,954 European ancestry cases, 107,715 European ancestry controls	NA	Affymetrix, Illumina, Perlegen [2831075] (imputed)	24			GCST006862	Genome-wide genotyping array
2019-01-11	30054458	Xue A	2018-07-27	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/30054458	Genome-wide association analyses identify 143 risk variants and putative regulatory mechanisms for type 2 diabetes.	Type 2 diabetes	61,714 European ancestry cases, 1,178 Pakistani ancestry cases, 593,952 European ancestry controls, 2,472 Pakistani ancestry controls	NA	NR [5035015] (imputed)	139			GCST006867	Genome-wide genotyping array
2019-01-18	29531354	Malik R	2018-03-12	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/29531354	Multiancestry genome-wide association study of 520,000 subjects identifies 32 loci associated with stroke and stroke subtypes.	Stroke	40,585 European ancestry cases, 406,111 European ancestry controls	NA	NR [~ 8000000] (imputed)	22	stroke	http://www.ebi.ac.uk/efo/EFO_0000712	GCST006906	Genome-wide genotyping array
2019-01-18	29531354	Malik R	2018-03-12	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/29531354	Multiancestry genome-wide association study of 520,000 subjects identifies 32 loci associated with stroke and stroke subtypes.	Ischemic stroke (large artery atherosclerosis)	4,373 European ancestry cases, 406,111 European ancestry controls	NA	NR [~ 8000000] (imputed)	6	large artery stroke	http://www.ebi.ac.uk/efo/EFO_0005524	GCST006907	Genome-wide genotyping array
2019-01-18	29531354	Malik R	2018-03-12	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/29531354	Multiancestry genome-wide association study of 520,000 subjects identifies 32 loci associated with stroke and stroke subtypes.	Ischemic stroke	34,217 European ancestry cases, 406,111 European ancestry controls	NA	NR [~ 8000000] (imputed)	19	Ischemic stroke	http://purl.obolibrary.org/obo/HP_0002140	GCST006908	Genome-wide genotyping array
2019-01-18	29531354	Malik R	2018-03-12	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/29531354	Multiancestry genome-wide association study of 520,000 subjects identifies 32 loci associated with stroke and stroke subtypes.	Ischemic stroke (cardioembolic)	7,193 European ancestry cases, 406,111 European ancestry controls	NA	NR [~ 8000000] (imputed)	5	cardioembolic stroke	http://www.ebi.ac.uk/efo/EFO_1001976	GCST006910	Genome-wide genotyping array
2019-01-22	29500382	Nagel M	2018-03-02	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/29500382	Item-level analyses reveal genetic heterogeneity in neuroticism.	Neurociticism	380,506 European ancestry individuals	NA	NR [10847151] (imputed)	181	neuroticism measurement	http://www.ebi.ac.uk/efo/EFO_0007660	GCST006940	Genome-wide genotyping array
2019-01-22	29500382	Nagel M	2018-03-02	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/29500382	Item-level analyses reveal genetic heterogeneity in neuroticism.	Irritable mood	366,726 European ancestry individuals	NA	NR [~ 10847151] (imputed)	67	irritability measurement	http://www.ebi.ac.uk/efo/EFO_0009594	GCST006941	Genome-wide genotyping array
2019-01-22	29500382	Nagel M	2018-03-02	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/29500382	Item-level analyses reveal genetic heterogeneity in neuroticism.	Feeling lonely	376,352 European ancestry individuals	NA	NR [10847151] (imputed)	10	loneliness measurement	http://www.ebi.ac.uk/efo/EFO_0007865	GCST006942	Genome-wide genotyping array
2019-01-22	29500382	Nagel M	2018-03-02	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/29500382	Item-level analyses reveal genetic heterogeneity in neuroticism.	Feeling miserable	376,097 European ancestry individuals	NA	NR [10847151] (imputed)	64	feeling miserable measurement	http://www.ebi.ac.uk/efo/EFO_0009598	GCST006943	Genome-wide genotyping array
2019-01-22	29500382	Nagel M	2018-03-02	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/29500382	Item-level analyses reveal genetic heterogeneity in neuroticism.	Experiencing mood swings	373,733 European ancestry individuals	NA	NR [10847151] (imputed)	69	mood instability measurement	http://www.ebi.ac.uk/efo/EFO_0008475	GCST006944	Genome-wide genotyping array
2019-01-22	29500382	Nagel M	2018-03-02	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/29500382	Item-level analyses reveal genetic heterogeneity in neuroticism.	Feeling guilty	373,380 European ancestry individuals	NA	NR [10847151] (imputed)	29	guilt measurement	http://www.ebi.ac.uk/efo/EFO_0009595	GCST006945	Genome-wide genotyping array
2019-01-22	29500382	Nagel M	2018-03-02	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/29500382	Item-level analyses reveal genetic heterogeneity in neuroticism.	Worry too long after an embarrassing experience	367,725 European ancestry individuals	NA	NR [10847151] (imputed)	34	worry measurement	http://www.ebi.ac.uk/efo/EFO_0009589	GCST006946	Genome-wide genotyping array
2019-01-22	29500382	Nagel M	2018-03-02	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/29500382	Item-level analyses reveal genetic heterogeneity in neuroticism.	Feeling fed-up	374,971 European ancestry individuals	NA	NR [10847151] (imputed)	60	feeling "fed-up" measurement	http://www.ebi.ac.uk/efo/EFO_0009588	GCST006947	Genome-wide genotyping array
2019-01-22	29500382	Nagel M	2018-03-02	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/29500382	Item-level analyses reveal genetic heterogeneity in neuroticism.	Feeling nervous	373,121 European ancestry individuals	NA	NR [10847151] (imputed)	67	feeling nervous measurement	http://www.ebi.ac.uk/efo/EFO_0009597	GCST006948	Genome-wide genotyping array
2019-01-22	29500382	Nagel M	2018-03-02	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/29500382	Item-level analyses reveal genetic heterogeneity in neuroticism.	Feeling worry	372,869 European ancestry individuals	NA	NR [10847151] (imputed)	71	worry measurement	http://www.ebi.ac.uk/efo/EFO_0009589	GCST006950	Genome-wide genotyping array
2019-01-22	29500382	Nagel M	2018-03-02	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/29500382	Item-level analyses reveal genetic heterogeneity in neuroticism.	Feeling hurt	372,047 European ancestry individuals	NA	NR [10847151] (imputed)	46	feeling emotionally hurt measurement	http://www.ebi.ac.uk/efo/EFO_0009599	GCST006951	Genome-wide genotyping array
2019-01-22	29500382	Nagel M	2018-03-02	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/29500382	Item-level analyses reveal genetic heterogeneity in neuroticism.	Feeling tense	371,318 European ancestry individuals	NA	NR [10847151] (imputed)	33	feeling tense measurement	http://www.ebi.ac.uk/efo/EFO_0009596	GCST006952	Genome-wide genotyping array
2019-01-25	30583798	Bovijn J	2018-12-21	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30583798	GWAS Identifies Risk Locus for Erectile Dysfunction and Implicates Hypothalamic Neurobiology and Diabetes in Etiology.	Erectile dysfunction	6,175 European ancestry male cases, 217,630 European ancestry male controls	NA	Affymetrix, Illumina [at least 807411] (imputed)	23	erectile dysfunction	http://www.ebi.ac.uk/efo/EFO_0004234	GCST006956	Genome-wide genotyping array
2019-02-28	25751625	Michailidou K	2015-04-01	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/25751625	Genome-wide association analysis of more than 120,000 individuals identifies 15 new susceptibility loci for breast cancer.	Breast cancer	46,785 European ancestry cases, 42,892 European ancestry controls	NA	Affymetrix, Illumina [~ 14000000] (imputed)	74	breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	GCST007236	Genome-wide genotyping array
2019-03-19	30604766	Morris AP	2019-01-03	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/30604766	Trans-ethnic kidney function association study reveals putative causal genes and effects on kidney-specific disease aetiologies.	Estimated glomerular filtration rate	134,070 European ancestry individuals, 143,658 East Asian ancestry individuals, 26,344 Hispanic or Latino ancestry individuals, 8,224 African American individuals	NA	Affymetrix, Illumina [at least 5248638] (imputed)	136	glomerular filtration rate	http://www.ebi.ac.uk/efo/EFO_0005208	GCST007344	Genome-wide genotyping array
2019-04-05	29632382	Mahajan A	2018-04-09	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/29632382	Refining the accuracy of validated target identification through coding variant fine-mapping in type 2 diabetes.	Type 2 diabetes	48,286 European ancestry cases, 250,671 European ancestry controls, 33,126 African American, East Asian, Hispanic/Latino or South Asian cases, 120,161 African American, East Asian, Hispanic/Latino or South Asian controls	NA	Affymetrix, Illumina [247470]	37			GCST007515	Targeted genotyping array [Exome array]
2019-04-05	29632382	Mahajan A	2018-04-09	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/29632382	Refining the accuracy of validated target identification through coding variant fine-mapping in type 2 diabetes.	Type 2 diabetes (adjusted for BMI)	48,286 European ancestry cases, 250,671 European ancestry controls, 33,126 African American, East Asian, Hispanic/Latino or South Asian cases, 120,161 African American, East Asian, Hispanic/Latino or South Asian controls	NA	Affymetrix, Illumina [247470]	35			GCST007516	Targeted genotyping array [Exome array]
2019-04-05	29632382	Mahajan A	2018-04-09	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/29632382	Refining the accuracy of validated target identification through coding variant fine-mapping in type 2 diabetes.	Type 2 diabetes	up to 48,286 European ancestry cases, up to 250,671 European ancestry controls	NA	Affymetrix, Illumina [247470]	32			GCST007517	Targeted genotyping array [Exome array]
2019-04-05	29632382	Mahajan A	2018-04-09	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/29632382	Refining the accuracy of validated target identification through coding variant fine-mapping in type 2 diabetes.	Type 2 diabetes (adjusted for BMI)	up to 48,286 European ancestry cases, up to 250,671 European ancestry controls	NA	Affymetrix, Illumina [247470]	35			GCST007518	Targeted genotyping array [Exome array]
2019-04-10	27680694	Horikoshi M	2016-10-13	Nature	www.ncbi.nlm.nih.gov/pubmed/27680694	Genome-wide associations for birth weight and correlations with adult disease.	Birth weight	133,903 European ancestry individuals	9,799 European ancestry individuals	Affymetrix, Illumina [at least 22434434] (imputed)	2	birth weight	http://www.ebi.ac.uk/efo/EFO_0004344	GCST007557	Genome-wide genotyping array
2019-05-28	25625282	Mahajan A	2015-01-27	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/25625282	Identification and functional characterization of G6PC2 coding variants influencing glycemic traits define an effector transcript at the G6PC2-ABCB11 locus.	Fasting blood insulin adjusted for BMI	up to 30,825 non-diabetic individuals	NA	Illumina [106489]	6	BMI-adjusted fasting blood insulin measurement	http://www.ebi.ac.uk/efo/EFO_0008037	GCST007857	Targeted genotyping array [Exome array]
2019-05-28	25625282	Mahajan A	2015-01-27	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/25625282	Identification and functional characterization of G6PC2 coding variants influencing glycemic traits define an effector transcript at the G6PC2-ABCB11 locus.	Fasting blood glucose adjusted for BMI	up to 33,231 non-diabetic individuals	NA	Illumina [106489]	10	BMI-adjusted fasting blood glucose measurement	http://www.ebi.ac.uk/efo/EFO_0008036	GCST007858	Targeted genotyping array [Exome array]
2020-02-05	31919418	Shah S	2020-01-09	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/31919418	Genome-wide association and Mendelian randomisation analysis provide insights into the pathogenesis of heart failure.	Heart failure	47,309 European ancestry cases, 930,014 European ancestry controls	NA	Affymetrix, Illumina [8246881] (imputed)	12	heart failure	http://www.ebi.ac.uk/efo/EFO_0003144	GCST009541	Genome-wide genotyping array
2020-05-29	32231244	Xie J	2020-03-30	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/32231244	The genetic architecture of membranous nephropathy and its potential to improve non-invasive diagnosis.	Membranous nephropathy	2,150 European ancestry cases, 5,829 European ancestry controls, 1,612 East Asian ancestry cases, 1,970 East Asian ancestry controls	826 Chinese ancestry cases, 1,239 Chinese ancestry controls	Illumina [~ 7000000] (imputed)	4	membranous glomerulonephritis	http://www.ebi.ac.uk/efo/EFO_0004254	GCST010004	Genome-wide genotyping array
2020-07-06	32499647	Spracklen CN	2020-05-06	Nature	www.ncbi.nlm.nih.gov/pubmed/32499647	Identification of type 2 diabetes loci in 433,540 East Asian individuals.	Type 2 diabetes	77,418 East Asian cases, 356,122 East Asian controls	NA	Affymetrix, Illumina [11800000] (imputed)	183			GCST010118	Genome-wide genotyping array
2020-07-08	32059762	Manousaki D	2020-02-05	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/32059762	Genome-wide Association Study for Vitamin D Levels Reveals 69 Independent Loci.	Serum 25-Hydroxyvitamin D levels	443,734 European ancestry individuals	NA	Affymetrix [16668957] (imputed)	138	vitamin D measurement	http://www.ebi.ac.uk/efo/EFO_0004631	GCST010144	Genome-wide genotyping array
2020-10-15	32005708	Forgetta V	2020-01-31	Diabetes	www.ncbi.nlm.nih.gov/pubmed/32005708	Rare Genetic Variants of Large Effect Influence Risk of Type 1 Diabetes.	Type 1 diabetes	9,266 European ancestry cases, 15,574 European ancestry controls	4,329 European ancestry cases, 9,543 European ancestry controls	Affymetrix, Illumina [9061522] (imputed)	6			GCST010681	Genome-wide genotyping array
2020-10-29	32843070	Winkler TW	2020-08-26	BMC Med Genomics	www.ncbi.nlm.nih.gov/pubmed/32843070	Genome-wide association meta-analysis for early age-related macular degeneration highlights novel loci and insights for advanced disease.	Early age-related macular degeneration	14,034 European ancestry cases, 91,214 European ancestry controls	NA	Affymetrix, Illumina [11702853] (imputed)	8	age-related macular degeneration	http://www.ebi.ac.uk/efo/EFO_0001365	GCST010723	Genome-wide genotyping array
2021-06-15	33239672	Laisk T	2020-11-25	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/33239672	The genetic architecture of sporadic and multiple consecutive miscarriage.	Sporadic miscarriage	49,996 European ancestry cases, 174,109 European ancestry controls	NA	Affymetrix, Illumina [9088459] (imputed)	1	fertility measurement	http://www.ebi.ac.uk/efo/EFO_0006923	GCST011888	Genome-wide genotyping array
2021-07-27	34211149	Mills MC	2021-07-01	Nat Hum Behav	www.ncbi.nlm.nih.gov/pubmed/34211149	Identification of 371 genetic variants for age at first sex and birth linked to externalising behaviour.	Age at first sexual intercourse	214,547 European ancestry individuals	NA	NR [16567047] (imputed)	2	age at first sexual intercourse measurement	http://www.ebi.ac.uk/efo/EFO_0009749	GCST90000045	Genome-wide genotyping array
2021-07-27	34211149	Mills MC	2021-07-01	Nat Hum Behav	www.ncbi.nlm.nih.gov/pubmed/34211149	Identification of 371 genetic variants for age at first sex and birth linked to externalising behaviour.	Age at first sexual intercourse	182,791 European ancestry individuals	NA	NR [16426330] (imputed)	8	age at first sexual intercourse measurement	http://www.ebi.ac.uk/efo/EFO_0009749	GCST90000046	Genome-wide genotyping array
2021-07-27	34211149	Mills MC	2021-07-01	Nat Hum Behav	www.ncbi.nlm.nih.gov/pubmed/34211149	Identification of 371 genetic variants for age at first sex and birth linked to externalising behaviour.	Age at first sexual intercourse	397,338 European ancestry individuals	NA	NR [16516521] (imputed)	272	age at first sexual intercourse measurement	http://www.ebi.ac.uk/efo/EFO_0009749	GCST90000047	Genome-wide genotyping array
2021-07-27	34211149	Mills MC	2021-07-01	Nat Hum Behav	www.ncbi.nlm.nih.gov/pubmed/34211149	Identification of 371 genetic variants for age at first sex and birth linked to externalising behaviour.	Age at first birth	418,758 European ancestry individuals	NA	NR [10813835] (imputed)	1	age at first birth measurement	http://www.ebi.ac.uk/efo/EFO_0009101	GCST90000048	Genome-wide genotyping array
2021-07-27	34211149	Mills MC	2021-07-01	Nat Hum Behav	www.ncbi.nlm.nih.gov/pubmed/34211149	Identification of 371 genetic variants for age at first sex and birth linked to externalising behaviour.	Age at first birth	124,088 European ancestry individuals	NA	NR [9467402] (imputed)	1	age at first birth measurement	http://www.ebi.ac.uk/efo/EFO_0009101	GCST90000049	Genome-wide genotyping array
2021-07-27	34211149	Mills MC	2021-07-01	Nat Hum Behav	www.ncbi.nlm.nih.gov/pubmed/34211149	Identification of 371 genetic variants for age at first sex and birth linked to externalising behaviour.	Age at first birth	542,901 European ancestry individuals	NA	NR [9744772] (imputed)	88	age at first birth measurement	http://www.ebi.ac.uk/efo/EFO_0009101	GCST90000050	Genome-wide genotyping array
2021-09-21	33230300	Surendran P	2020-11-23	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/33230300	Discovery of rare variants associated with blood pressure regulation through meta-analysis of 1.3 million individuals.	Diastolic blood pressure	810,865 European ancestry individuals	354,096 European ancestry individuals	Affymetrix, Illumina [242866] (imputed)	116	diastolic blood pressure	http://www.ebi.ac.uk/efo/EFO_0006336	GCST90000059	Genome-wide genotyping array
2021-09-21	33230300	Surendran P	2020-11-23	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/33230300	Discovery of rare variants associated with blood pressure regulation through meta-analysis of 1.3 million individuals.	Pulse pressure	810,865 European ancestry individuals, 21,077 African American individuals, 33,689 South Asian ancestry individuals, 4,586 Hispanic individuals	354,096 European ancestry individuals, 63,282 African American individuals, 4,792 East Asian ancestry individuals, 22,802 Hispanic individuals, 2,695 Native American ancestry individuals	Affymetrix, Illumina [247315] (imputed)	11	pulse pressure measurement	http://www.ebi.ac.uk/efo/EFO_0005763	GCST90000065	Genome-wide genotyping array
2020-09-07	32814899	Meyer HV	2020-08-19	Nature	www.ncbi.nlm.nih.gov/pubmed/32814899	Genetic and functional insights into the fractal structure of the heart.	Myocardial fractal dimension (slice 2)	18,096 European individuals		Affymetrix [14134301] (imputed)	5	left ventricular structural measurement	http://www.ebi.ac.uk/efo/EFO_0008205	GCST90000288	Genome-wide genotyping array
2020-09-07	32814899	Meyer HV	2020-08-19	Nature	www.ncbi.nlm.nih.gov/pubmed/32814899	Genetic and functional insights into the fractal structure of the heart.	Myocardial fractal dimension (slice 3)	18,096 European individuals		Affymetrix [14134301] (imputed)	8	left ventricular structural measurement	http://www.ebi.ac.uk/efo/EFO_0008205	GCST90000289	Genome-wide genotyping array
2020-09-07	32814899	Meyer HV	2020-08-19	Nature	www.ncbi.nlm.nih.gov/pubmed/32814899	Genetic and functional insights into the fractal structure of the heart.	Myocardial fractal dimension (slice 4)	18,096 European individuals		Affymetrix [14134301] (imputed)	9	left ventricular structural measurement	http://www.ebi.ac.uk/efo/EFO_0008205	GCST90000290	Genome-wide genotyping array
2020-09-07	32814899	Meyer HV	2020-08-19	Nature	www.ncbi.nlm.nih.gov/pubmed/32814899	Genetic and functional insights into the fractal structure of the heart.	Myocardial fractal dimension (slice 5)	18,096 European individuals		Affymetrix [14134301] (imputed)	9	left ventricular structural measurement	http://www.ebi.ac.uk/efo/EFO_0008205	GCST90000291	Genome-wide genotyping array
2020-09-07	32814899	Meyer HV	2020-08-19	Nature	www.ncbi.nlm.nih.gov/pubmed/32814899	Genetic and functional insights into the fractal structure of the heart.	Myocardial fractal dimension (slice 6)	18,096 European individuals		Affymetrix [14134301] (imputed)	11	left ventricular structural measurement	http://www.ebi.ac.uk/efo/EFO_0008205	GCST90000292	Genome-wide genotyping array
2020-09-07	32814899	Meyer HV	2020-08-19	Nature	www.ncbi.nlm.nih.gov/pubmed/32814899	Genetic and functional insights into the fractal structure of the heart.	Myocardial fractal dimension (slice 7)	18,096 European individuals		Affymetrix [14134301] (imputed)	8	left ventricular structural measurement	http://www.ebi.ac.uk/efo/EFO_0008205	GCST90000293	Genome-wide genotyping array
2020-09-07	32814899	Meyer HV	2020-08-19	Nature	www.ncbi.nlm.nih.gov/pubmed/32814899	Genetic and functional insights into the fractal structure of the heart.	Myocardial fractal dimension (slice 8)	18,096 European individuals		Affymetrix [14134301] (imputed)	6	left ventricular structural measurement	http://www.ebi.ac.uk/efo/EFO_0008205	GCST90000294	Genome-wide genotyping array
2020-09-07	32814899	Meyer HV	2020-08-19	Nature	www.ncbi.nlm.nih.gov/pubmed/32814899	Genetic and functional insights into the fractal structure of the heart.	Myocardial fractal dimension (slice 9)	18,096 European individuals		Affymetrix [14134301] (imputed)	2	left ventricular structural measurement	http://www.ebi.ac.uk/efo/EFO_0008205	GCST90000295	Genome-wide genotyping array
2021-07-07	34111113	Green HD	2021-06-10	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/34111113	A genome-wide association study identifies 5 loci associated with frozen shoulder and implicates diabetes as a causal risk factor.	Frozen shoulder	627,998 European ancestry individuals	NA	NR [16689279] (imputed)	5	frozen shoulder	http://www.ebi.ac.uk/efo/EFO_1000941	GCST90000513	Genome-wide genotyping array
2021-07-27	34187846	Ong JS	2021-06-29	Gut	www.ncbi.nlm.nih.gov/pubmed/34187846	Multitrait genetic association analysis identifies 50 new risk loci for gastro-oesophageal reflux, seven new loci for Barrett's oesophagus and provides insights into clinical heterogeneity in reflux diagnosis.	Gastroesophageal reflux disease	129,080 European ancestry cases, 473,524 European ancestry controls	462,753 cases, 1,127,474 controls	NR [2324712] (imputed)	37	gastroesophageal reflux disease	http://www.ebi.ac.uk/efo/EFO_0003948	GCST90000514	Genome-wide genotyping array
2021-07-27	34187846	Ong JS	2021-06-29	Gut	www.ncbi.nlm.nih.gov/pubmed/34187846	Multitrait genetic association analysis identifies 50 new risk loci for gastro-oesophageal reflux, seven new loci for Barrett's oesophagus and provides insights into clinical heterogeneity in reflux diagnosis.	Barrett's esophagus	13,358 European ancestry cases, 43,071 European ancestry controls	24,099 cases, 1,484,025 controls	NR [2324712] (imputed)	8	Barrett's esophagus	http://www.ebi.ac.uk/efo/EFO_0000280	GCST90000515	Genome-wide genotyping array
2021-04-23	33830302	Inshaw JRJ	2021-04-08	Diabetologia	www.ncbi.nlm.nih.gov/pubmed/33830302	Analysis of overlapping genetic association in type 1 and type 2 diabetes.	Type 1 diabetes	7,467 European ancestry cases, 10,218 European ancestry controls	NA	Affymetrix, Illumina [7769284] (imputed)	8			GCST90000529	Genome-wide genotyping array
2020-10-28	32242144	Revez JA	2020-04-02	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/32242144	Genome-wide association study identifies 143 loci associated with 25 hydroxyvitamin D concentration.	Serum 25-Hydroxyvitamin D levels	417,580 European ancestry individuals	80,998 European ancestry individuals, 1,632 individuals	NR [8806780] (imputed)	3	vitamin D measurement	http://www.ebi.ac.uk/efo/EFO_0004631	GCST90000614	Genome-wide genotyping array
2020-10-28	32242144	Revez JA	2020-04-02	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/32242144	Genome-wide association study identifies 143 loci associated with 25 hydroxyvitamin D concentration.	Serum 25-Hydroxyvitamin D levels	417,580 European ancestry individuals	NA	NR [7250403] (imputed)	111	vitamin D measurement	http://www.ebi.ac.uk/efo/EFO_0004631	GCST90000616	Genome-wide genotyping array
2020-10-28	32242144	Revez JA	2020-04-02	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/32242144	Genome-wide association study identifies 143 loci associated with 25 hydroxyvitamin D concentration.	Serum 25-Hydroxyvitamin D levels	496,946 European ancestry individuals	NA	NR [6912294] (imputed)	150	vitamin D measurement	http://www.ebi.ac.uk/efo/EFO_0004631	GCST90000618	Genome-wide genotyping array
2021-06-10	34059833	Chen J	2021-05-31	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/34059833	The trans-ancestral genomic architecture of glycemic traits.	Fasting glucose	16,579 African American individuals	NA	Affymetrix, Illumina [27843817] (imputed)	11	glucose measurement	http://www.ebi.ac.uk/efo/EFO_0004468	GCST90002230	Genome-wide genotyping array, Targeted genotyping array [Genome-wide genotyping array|Metabochip]
2021-06-10	34059833	Chen J	2021-05-31	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/34059833	The trans-ancestral genomic architecture of glycemic traits.	Fasting glucose	35,619 East Asian ancestry individuals	NA	Affymetrix, Illumina [15438438] (imputed)	15	glucose measurement	http://www.ebi.ac.uk/efo/EFO_0004468	GCST90002231	Genome-wide genotyping array, Targeted genotyping array [Genome-wide genotyping array|Metabochip]
2021-06-10	34059833	Chen J	2021-05-31	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/34059833	The trans-ancestral genomic architecture of glycemic traits.	Fasting glucose	19,247 Hispanic individuals	NA	Affymetrix, Illumina [28177426] (imputed)	13	glucose measurement	http://www.ebi.ac.uk/efo/EFO_0004468	GCST90002233	Genome-wide genotyping array, Targeted genotyping array [Genome-wide genotyping array|Metabochip]
2021-06-10	34059833	Chen J	2021-05-31	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/34059833	The trans-ancestral genomic architecture of glycemic traits.	Glycated hemoglobin levels	33,307 East Asian ancestry individuals	NA	Affymetrix, Illumina [15728197] (imputed)	27	HbA1c measurement	http://www.ebi.ac.uk/efo/EFO_0004541	GCST90002243	Genome-wide genotyping array, Targeted genotyping array [Genome-wide genotyping array|Metabochip]
2020-09-21	32888493	Chen MH	2020-09-01	Cell	www.ncbi.nlm.nih.gov/pubmed/32888493	Trans-ethnic and Ancestry-Specific Blood-Cell Genetics in 746,667 Individuals from 5 Global Populations.	Basophil count	474,001 European ancestry individuals	NA	Affymetrix, Illumina [50036608] (imputed)	170	basophil count	http://www.ebi.ac.uk/efo/EFO_0005090	GCST90002292	Genome-wide genotyping array
2020-09-21	32888493	Chen MH	2020-09-01	Cell	www.ncbi.nlm.nih.gov/pubmed/32888493	Trans-ethnic and Ancestry-Specific Blood-Cell Genetics in 746,667 Individuals from 5 Global Populations.	Basophil count	81,042 East Asian ancestry individuals	NA	Affymetrix, Illumina [16286709] (imputed)	25	basophil count	http://www.ebi.ac.uk/efo/EFO_0005090	GCST90002293	Genome-wide genotyping array
2020-09-21	32888493	Chen MH	2020-09-01	Cell	www.ncbi.nlm.nih.gov/pubmed/32888493	Trans-ethnic and Ancestry-Specific Blood-Cell Genetics in 746,667 Individuals from 5 Global Populations.	Eosinophil counts	11,615 African American or Afro-Caribbean and African ancestry individuals	NA	Affymetrix, Illumina [35935203] (imputed)	1	eosinophil count	http://www.ebi.ac.uk/efo/EFO_0004842	GCST90002297	Genome-wide genotyping array
2020-09-21	32888493	Chen MH	2020-09-01	Cell	www.ncbi.nlm.nih.gov/pubmed/32888493	Trans-ethnic and Ancestry-Specific Blood-Cell Genetics in 746,667 Individuals from 5 Global Populations.	Eosinophil counts	474,237 European ancestry individuals	NA	Affymetrix, Illumina [50000174] (imputed)	376	eosinophil count	http://www.ebi.ac.uk/efo/EFO_0004842	GCST90002298	Genome-wide genotyping array
2020-09-21	32888493	Chen MH	2020-09-01	Cell	www.ncbi.nlm.nih.gov/pubmed/32888493	Trans-ethnic and Ancestry-Specific Blood-Cell Genetics in 746,667 Individuals from 5 Global Populations.	Eosinophil counts	86,890 East Asian ancestry individuals	NA	Affymetrix, Illumina [16279099] (imputed)	31	eosinophil count	http://www.ebi.ac.uk/efo/EFO_0004842	GCST90002299	Genome-wide genotyping array
