DATE.ADDED.TO.CATALOG	PUBMEDID	FIRST.AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE.TRAIT	INITIAL.SAMPLE.SIZE	REPLICATION.SAMPLE.SIZE	PLATFORM..SNPS.PASSING.QC.	ASSOCIATION.COUNT	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY.ACCESSION	GENOTYPING.TECHNOLOGY	path	fullpath	nsamples_arg	has_required_header	has_pvalue
2021-09-20	34454985	Sliz E	2021-08-26	J Allergy Clin Immunol	www.ncbi.nlm.nih.gov/pubmed/34454985	Uniting biobank resources reveals novel genetic pathways modulating susceptibility for atopic dermatitis.	Atopic dermatitis	22,474 European ancestry cases, 774,187 European ancestry controls	NA	Affymetrix, Illumina [16201029] (imputed)	30	atopic eczema	http://www.ebi.ac.uk/efo/EFO_0000274	GCST90027161	Genome-wide genotyping array	./GCST90027001-GCST90028000/GCST90027161/harmonised/34454985-GCST90027161-EFO_0000274.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90027001-GCST90028000/GCST90027161/harmonised/34454985-GCST90027161-EFO_0000274.h.tsv.gz	nfe=796661	TRUE	TRUE
2021-06-23	34103634	Valette K	2021-06-08	Commun Biol	www.ncbi.nlm.nih.gov/pubmed/34103634	Prioritization of candidate causal genes for asthma in susceptibility loci derived from UK Biobank.	Asthma	56,167 White-British ancestry cases, 352,255 White-British ancestry controls	NA	Affymetrix [35186738] (imputed)	73			GCST90014325	Genome-wide genotyping array	./GCST90014001-GCST90015000/GCST90014325/harmonised/34103634-GCST90014325-EFO_0000270.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90014001-GCST90015000/GCST90014325/harmonised/34103634-GCST90014325-EFO_0000270.h.tsv.gz	nfe=408442	TRUE	TRUE
2021-06-10	34059833	Chen J	2021-05-31	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/34059833	The trans-ancestral genomic architecture of glycemic traits.	Fasting glucose	16,579 African American individuals	NA	Affymetrix, Illumina [27843817] (imputed)	11	glucose measurement	http://www.ebi.ac.uk/efo/EFO_0004468	GCST90002230	Genome-wide genotyping array, Targeted genotyping array [Genome-wide genotyping array|Metabochip]	./GCST90002001-GCST90003000/GCST90002230/harmonised/34059833-GCST90002230-EFO_0004468.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90002001-GCST90003000/GCST90002230/harmonised/34059833-GCST90002230-EFO_0004468.h.tsv.gz	afr=16579	TRUE	TRUE
2021-06-10	34059833	Chen J	2021-05-31	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/34059833	The trans-ancestral genomic architecture of glycemic traits.	Fasting glucose	35,619 East Asian ancestry individuals	NA	Affymetrix, Illumina [15438438] (imputed)	15	glucose measurement	http://www.ebi.ac.uk/efo/EFO_0004468	GCST90002231	Genome-wide genotyping array, Targeted genotyping array [Genome-wide genotyping array|Metabochip]	./GCST90002001-GCST90003000/GCST90002231/harmonised/34059833-GCST90002231-EFO_0004468.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90002001-GCST90003000/GCST90002231/harmonised/34059833-GCST90002231-EFO_0004468.h.tsv.gz	eas=35619	TRUE	TRUE
2021-06-10	34059833	Chen J	2021-05-31	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/34059833	The trans-ancestral genomic architecture of glycemic traits.	Fasting glucose	200,622 European ancestry individuals	NA	Affymetrix, Illumina [34064007] (imputed)	92	glucose measurement	http://www.ebi.ac.uk/efo/EFO_0004468	GCST90002232	Genome-wide genotyping array, Targeted genotyping array [Genome-wide genotyping array|Metabochip]	./GCST90002001-GCST90003000/GCST90002232/harmonised/34059833-GCST90002232-EFO_0004468.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90002001-GCST90003000/GCST90002232/harmonised/34059833-GCST90002232-EFO_0004468.h.tsv.gz	nfe=200622	TRUE	TRUE
2021-06-10	34059833	Chen J	2021-05-31	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/34059833	The trans-ancestral genomic architecture of glycemic traits.	Fasting glucose	19,247 Hispanic individuals	NA	Affymetrix, Illumina [28177426] (imputed)	13	glucose measurement	http://www.ebi.ac.uk/efo/EFO_0004468	GCST90002233	Genome-wide genotyping array, Targeted genotyping array [Genome-wide genotyping array|Metabochip]	./GCST90002001-GCST90003000/GCST90002233/harmonised/34059833-GCST90002233-EFO_0004468.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90002001-GCST90003000/GCST90002233/harmonised/34059833-GCST90002233-EFO_0004468.h.tsv.gz	amr=19247	TRUE	TRUE
2021-06-10	34059833	Chen J	2021-05-31	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/34059833	The trans-ancestral genomic architecture of glycemic traits.	Fasting insulin	29,792 East Asian ancestry individuals	NA	Affymetrix, Illumina [14733249] (imputed)	1	insulin measurement	http://www.ebi.ac.uk/efo/EFO_0004467	GCST90002237	Genome-wide genotyping array, Targeted genotyping array [Genome-wide genotyping array|Metabochip]	./GCST90002001-GCST90003000/GCST90002237/harmonised/34059833-GCST90002237-EFO_0004467.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90002001-GCST90003000/GCST90002237/harmonised/34059833-GCST90002237-EFO_0004467.h.tsv.gz	eas=29792	TRUE	TRUE
2021-06-10	34059833	Chen J	2021-05-31	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/34059833	The trans-ancestral genomic architecture of glycemic traits.	Fasting insulin	151,013 European ancestry individuals	NA	Affymetrix, Illumina [32635793] (imputed)	54	insulin measurement	http://www.ebi.ac.uk/efo/EFO_0004467	GCST90002238	Genome-wide genotyping array, Targeted genotyping array [Genome-wide genotyping array|Metabochip]	./GCST90002001-GCST90003000/GCST90002238/harmonised/34059833-GCST90002238-EFO_0004467.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90002001-GCST90003000/GCST90002238/harmonised/34059833-GCST90002238-EFO_0004467.h.tsv.gz	nfe=151013	TRUE	TRUE
2021-06-10	34059833	Chen J	2021-05-31	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/34059833	The trans-ancestral genomic architecture of glycemic traits.	Fasting insulin	16,386 Hispanic individuals	NA	Affymetrix, Illumina [26195808] (imputed)	8	insulin measurement	http://www.ebi.ac.uk/efo/EFO_0004467	GCST90002239	Genome-wide genotyping array, Targeted genotyping array [Genome-wide genotyping array|Metabochip]	./GCST90002001-GCST90003000/GCST90002239/harmonised/34059833-GCST90002239-EFO_0004467.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90002001-GCST90003000/GCST90002239/harmonised/34059833-GCST90002239-EFO_0004467.h.tsv.gz	amr=16386	TRUE	TRUE
2021-06-10	34059833	Chen J	2021-05-31	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/34059833	The trans-ancestral genomic architecture of glycemic traits.	Glycated hemoglobin levels	33,307 East Asian ancestry individuals	NA	Affymetrix, Illumina [15728197] (imputed)	27	HbA1c measurement	http://www.ebi.ac.uk/efo/EFO_0004541	GCST90002243	Genome-wide genotyping array, Targeted genotyping array [Genome-wide genotyping array|Metabochip]	./GCST90002001-GCST90003000/GCST90002243/harmonised/34059833-GCST90002243-EFO_0004541.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90002001-GCST90003000/GCST90002243/harmonised/34059833-GCST90002243-EFO_0004541.h.tsv.gz	eas=33307	TRUE	TRUE
2021-06-10	34059833	Chen J	2021-05-31	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/34059833	The trans-ancestral genomic architecture of glycemic traits.	Glycated hemoglobin levels	146,806 European ancestry individuals	NA	Affymetrix, Illumina [33811881] (imputed)	113	HbA1c measurement	http://www.ebi.ac.uk/efo/EFO_0004541	GCST90002244	Genome-wide genotyping array, Targeted genotyping array [Genome-wide genotyping array|Metabochip]	./GCST90002001-GCST90003000/GCST90002244/harmonised/34059833-GCST90002244-EFO_0004541.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90002001-GCST90003000/GCST90002244/harmonised/34059833-GCST90002244-EFO_0004541.h.tsv.gz	nfe=146806	TRUE	TRUE
2021-06-10	34059833	Chen J	2021-05-31	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/34059833	The trans-ancestral genomic architecture of glycemic traits.	Glycated hemoglobin levels	15,248 Hispanic individuals	NA	Affymetrix, Illumina [29199641] (imputed)	13	HbA1c measurement	http://www.ebi.ac.uk/efo/EFO_0004541	GCST90002245	Genome-wide genotyping array, Targeted genotyping array [Genome-wide genotyping array|Metabochip]	./GCST90002001-GCST90003000/GCST90002245/harmonised/34059833-GCST90002245-EFO_0004541.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90002001-GCST90003000/GCST90002245/harmonised/34059833-GCST90002245-EFO_0004541.h.tsv.gz	amr=15248	TRUE	TRUE
2021-06-17	33955455	Beck JJ	2021-05-06	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/33955455	Genetic Meta-Analysis of Twin Birth Weight Shows High Genetic Correlation with Singleton Birth Weight.	Birth weight	42,212 European ancestry individuals	NA	Affymetrix, Illumina [7692335] (imputed)	2	birth weight	http://www.ebi.ac.uk/efo/EFO_0004344	GCST90000030	Genome-wide genotyping array	./GCST90000001-GCST90001000/GCST90000030/harmonised/33955455-GCST90000030-EFO_0004344.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90000001-GCST90001000/GCST90000030/harmonised/33955455-GCST90000030-EFO_0004344.h.tsv.gz	nfe=42212	TRUE	TRUE
2021-09-08	34431594	Atkins JL	2021-08-25	Aging Cell	www.ncbi.nlm.nih.gov/pubmed/34431594	A genome-wide association study of the frailty index highlights brain pathways in ageing.	Frailty index	175,226 European ancestry individuals	NA	Affymetrix, Illumina [7666890] (imputed)	14	frailty measurement	http://www.ebi.ac.uk/efo/EFO_0009885	GCST90020053	Genome-wide genotyping array	./GCST90020001-GCST90021000/GCST90020053/harmonised/34431594-GCST90020053-EFO_0009885.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90020001-GCST90021000/GCST90020053/harmonised/34431594-GCST90020053-EFO_0009885.h.tsv.gz	nfe=175226	TRUE	TRUE
2021-08-13	34302048	Qu HQ	2021-07-23	Commun Biol	www.ncbi.nlm.nih.gov/pubmed/34302048	Genetic architecture of type 1 diabetes with low genetic risk score informed by 41 unreported loci.	Type 1 diabetes with low genetic risk score	957 European ancestry cases, 12,323 European ancestry controls	NA	Illumina [104689647] (imputed)	149			GCST90000181	Genome-wide genotyping array	./GCST90000001-GCST90001000/GCST90000181/harmonised/34302048-GCST90000181-EFO_0001359.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90000001-GCST90001000/GCST90000181/harmonised/34302048-GCST90000181-EFO_0001359.h.tsv.gz	nfe=13280	TRUE	TRUE
2021-07-07	34111113	Green HD	2021-06-10	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/34111113	A genome-wide association study identifies 5 loci associated with frozen shoulder and implicates diabetes as a causal risk factor.	Frozen shoulder	627,998 European ancestry individuals	NA	NR [16689279] (imputed)	5	frozen shoulder	http://www.ebi.ac.uk/efo/EFO_1000941	GCST90000513	Genome-wide genotyping array	./GCST90000001-GCST90001000/GCST90000513/harmonised/34111113-GCST90000513-EFO_1000941.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90000001-GCST90001000/GCST90000513/harmonised/34111113-GCST90000513-EFO_1000941.h.tsv.gz	nfe=627998	TRUE	TRUE
2021-07-27	34211149	Mills MC	2021-07-01	Nat Hum Behav	www.ncbi.nlm.nih.gov/pubmed/34211149	Identification of 371 genetic variants for age at first sex and birth linked to externalising behaviour.	Age at first sexual intercourse	214,547 European ancestry individuals	NA	NR [16567047] (imputed)	2	age at first sexual intercourse measurement	http://www.ebi.ac.uk/efo/EFO_0009749	GCST90000045	Genome-wide genotyping array	./GCST90000001-GCST90001000/GCST90000045/harmonised/34211149-GCST90000045-EFO_0009749.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90000001-GCST90001000/GCST90000045/harmonised/34211149-GCST90000045-EFO_0009749.h.tsv.gz	nfe=214547	TRUE	TRUE
2021-07-27	34211149	Mills MC	2021-07-01	Nat Hum Behav	www.ncbi.nlm.nih.gov/pubmed/34211149	Identification of 371 genetic variants for age at first sex and birth linked to externalising behaviour.	Age at first sexual intercourse	182,791 European ancestry individuals	NA	NR [16426330] (imputed)	8	age at first sexual intercourse measurement	http://www.ebi.ac.uk/efo/EFO_0009749	GCST90000046	Genome-wide genotyping array	./GCST90000001-GCST90001000/GCST90000046/harmonised/34211149-GCST90000046-EFO_0009749.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90000001-GCST90001000/GCST90000046/harmonised/34211149-GCST90000046-EFO_0009749.h.tsv.gz	nfe=182791	TRUE	TRUE
2021-07-27	34211149	Mills MC	2021-07-01	Nat Hum Behav	www.ncbi.nlm.nih.gov/pubmed/34211149	Identification of 371 genetic variants for age at first sex and birth linked to externalising behaviour.	Age at first sexual intercourse	397,338 European ancestry individuals	NA	NR [16516521] (imputed)	272	age at first sexual intercourse measurement	http://www.ebi.ac.uk/efo/EFO_0009749	GCST90000047	Genome-wide genotyping array	./GCST90000001-GCST90001000/GCST90000047/harmonised/34211149-GCST90000047-EFO_0009749.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90000001-GCST90001000/GCST90000047/harmonised/34211149-GCST90000047-EFO_0009749.h.tsv.gz	nfe=397338	TRUE	TRUE
2021-07-27	34211149	Mills MC	2021-07-01	Nat Hum Behav	www.ncbi.nlm.nih.gov/pubmed/34211149	Identification of 371 genetic variants for age at first sex and birth linked to externalising behaviour.	Age at first birth	418,758 European ancestry individuals	NA	NR [10813835] (imputed)	1	age at first birth measurement	http://www.ebi.ac.uk/efo/EFO_0009101	GCST90000048	Genome-wide genotyping array	./GCST90000001-GCST90001000/GCST90000048/harmonised/34211149-GCST90000048-EFO_0009101.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90000001-GCST90001000/GCST90000048/harmonised/34211149-GCST90000048-EFO_0009101.h.tsv.gz	nfe=418758	TRUE	TRUE
2021-07-27	34211149	Mills MC	2021-07-01	Nat Hum Behav	www.ncbi.nlm.nih.gov/pubmed/34211149	Identification of 371 genetic variants for age at first sex and birth linked to externalising behaviour.	Age at first birth	124,088 European ancestry individuals	NA	NR [9467402] (imputed)	1	age at first birth measurement	http://www.ebi.ac.uk/efo/EFO_0009101	GCST90000049	Genome-wide genotyping array	./GCST90000001-GCST90001000/GCST90000049/harmonised/34211149-GCST90000049-EFO_0009101.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90000001-GCST90001000/GCST90000049/harmonised/34211149-GCST90000049-EFO_0009101.h.tsv.gz	nfe=124088	TRUE	TRUE
2021-07-27	34211149	Mills MC	2021-07-01	Nat Hum Behav	www.ncbi.nlm.nih.gov/pubmed/34211149	Identification of 371 genetic variants for age at first sex and birth linked to externalising behaviour.	Age at first birth	542,901 European ancestry individuals	NA	NR [9744772] (imputed)	88	age at first birth measurement	http://www.ebi.ac.uk/efo/EFO_0009101	GCST90000050	Genome-wide genotyping array	./GCST90000001-GCST90001000/GCST90000050/harmonised/34211149-GCST90000050-EFO_0009101.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90000001-GCST90001000/GCST90000050/harmonised/34211149-GCST90000050-EFO_0009101.h.tsv.gz	nfe=542901	TRUE	TRUE
2021-06-09	33972514	Pazoki R	2021-05-10	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/33972514	Genetic analysis in European ancestry individuals identifies 517 loci associated with liver enzymes.	Liver enzyme levels (alanine transaminase)	437,267 European ancestry individuals	315,572 European ancestry individuals	Affymetrix [13995440] (imputed)	150	serum alanine aminotransferase measurement	http://www.ebi.ac.uk/efo/EFO_0004735	GCST90013405	Genome-wide genotyping array	./GCST90013001-GCST90014000/GCST90013405/harmonised/33972514-GCST90013405-EFO_0004735.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90013001-GCST90014000/GCST90013405/harmonised/33972514-GCST90013405-EFO_0004735.h.tsv.gz	nfe=437267	TRUE	TRUE
2021-08-13	34128465	Liu Y	2021-06-15	Elife	www.ncbi.nlm.nih.gov/pubmed/34128465	Genetic architecture of 11 organ traits derived from abdominal MRI using deep learning.	Liver volume	32,860 European ancestry individuals	NA	Affymetrix [9390170] (imputed)	12			GCST90016666	Genome-wide genotyping array	./GCST90016001-GCST90017000/GCST90016666/harmonised/34128465-GCST90016666-EFO_0004324.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90016001-GCST90017000/GCST90016666/harmonised/34128465-GCST90016666-EFO_0004324.h.tsv.gz	nfe=32860	TRUE	TRUE
2021-08-13	34128465	Liu Y	2021-06-15	Elife	www.ncbi.nlm.nih.gov/pubmed/34128465	Genetic architecture of 11 organ traits derived from abdominal MRI using deep learning.	Spleen volume	32,860 European ancestry individuals	NA	Affymetrix [9390170] (imputed)	40			GCST90016667	Genome-wide genotyping array	./GCST90016001-GCST90017000/GCST90016667/harmonised/34128465-GCST90016667-EFO_0004324.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90016001-GCST90017000/GCST90016667/harmonised/34128465-GCST90016667-EFO_0004324.h.tsv.gz	nfe=32860	TRUE	TRUE
2021-08-13	34128465	Liu Y	2021-06-15	Elife	www.ncbi.nlm.nih.gov/pubmed/34128465	Genetic architecture of 11 organ traits derived from abdominal MRI using deep learning.	Lung volume	32,860 European ancestry individuals	NA	Affymetrix [9390170] (imputed)	7			GCST90016668	Genome-wide genotyping array	./GCST90016001-GCST90017000/GCST90016668/harmonised/34128465-GCST90016668-EFO_0004324.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90016001-GCST90017000/GCST90016668/harmonised/34128465-GCST90016668-EFO_0004324.h.tsv.gz	nfe=32860	TRUE	TRUE
2021-08-13	34128465	Liu Y	2021-06-15	Elife	www.ncbi.nlm.nih.gov/pubmed/34128465	Genetic architecture of 11 organ traits derived from abdominal MRI using deep learning.	Pancreas volume	31,758 European ancestry individuals	NA	Affymetrix [9390170] (imputed)	17			GCST90016669	Genome-wide genotyping array	./GCST90016001-GCST90017000/GCST90016669/harmonised/34128465-GCST90016669-EFO_0004324.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90016001-GCST90017000/GCST90016669/harmonised/34128465-GCST90016669-EFO_0004324.h.tsv.gz	nfe=31758	TRUE	TRUE
2021-08-13	34128465	Liu Y	2021-06-15	Elife	www.ncbi.nlm.nih.gov/pubmed/34128465	Genetic architecture of 11 organ traits derived from abdominal MRI using deep learning.	Kidney volume	32,860 European ancestry individuals	NA	Affymetrix [9390170] (imputed)	12			GCST90016670	Genome-wide genotyping array	./GCST90016001-GCST90017000/GCST90016670/harmonised/34128465-GCST90016670-EFO_0004324.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90016001-GCST90017000/GCST90016670/harmonised/34128465-GCST90016670-EFO_0004324.h.tsv.gz	nfe=32860	TRUE	TRUE
2021-08-13	34128465	Liu Y	2021-06-15	Elife	www.ncbi.nlm.nih.gov/pubmed/34128465	Genetic architecture of 11 organ traits derived from abdominal MRI using deep learning.	Visceral adipose tissue volume	32,860 European ancestry individuals	NA	Affymetrix [9390170] (imputed)	6	visceral adipose tissue measurement	http://www.ebi.ac.uk/efo/EFO_0004765	GCST90016671	Genome-wide genotyping array	./GCST90016001-GCST90017000/GCST90016671/harmonised/34128465-GCST90016671-EFO_0004765.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90016001-GCST90017000/GCST90016671/harmonised/34128465-GCST90016671-EFO_0004765.h.tsv.gz	nfe=32860	TRUE	TRUE
2021-08-13	34128465	Liu Y	2021-06-15	Elife	www.ncbi.nlm.nih.gov/pubmed/34128465	Genetic architecture of 11 organ traits derived from abdominal MRI using deep learning.	Abdominal subcutaneous adipose tissue volume	32,860 European ancestry individuals	NA	Affymetrix [9390170] (imputed)	2	subcutaneous adipose tissue measurement	http://www.ebi.ac.uk/efo/EFO_0004766	GCST90016672	Genome-wide genotyping array	./GCST90016001-GCST90017000/GCST90016672/harmonised/34128465-GCST90016672-EFO_0004766.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90016001-GCST90017000/GCST90016672/harmonised/34128465-GCST90016672-EFO_0004766.h.tsv.gz	nfe=32860	TRUE	TRUE
2021-08-13	34128465	Liu Y	2021-06-15	Elife	www.ncbi.nlm.nih.gov/pubmed/34128465	Genetic architecture of 11 organ traits derived from abdominal MRI using deep learning.	Percent liver fat	32,858 European ancestry individuals	NA	Affymetrix [9390170] (imputed)	12	liver fat measurement	http://www.ebi.ac.uk/efo/EFO_0010821	GCST90016673	Genome-wide genotyping array	./GCST90016001-GCST90017000/GCST90016673/harmonised/34128465-GCST90016673-EFO_0010821.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90016001-GCST90017000/GCST90016673/harmonised/34128465-GCST90016673-EFO_0010821.h.tsv.gz	nfe=32858	TRUE	TRUE
2021-08-13	34128465	Liu Y	2021-06-15	Elife	www.ncbi.nlm.nih.gov/pubmed/34128465	Genetic architecture of 11 organ traits derived from abdominal MRI using deep learning.	Liver iron content	32,858 European ancestry individuals	NA	Affymetrix [9390170] (imputed)	23	liver iron measurement	http://www.ebi.ac.uk/efo/EFO_0010056	GCST90016674	Genome-wide genotyping array	./GCST90016001-GCST90017000/GCST90016674/harmonised/34128465-GCST90016674-EFO_0010056.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90016001-GCST90017000/GCST90016674/harmonised/34128465-GCST90016674-EFO_0010056.h.tsv.gz	nfe=32858	TRUE	TRUE
2021-08-13	34128465	Liu Y	2021-06-15	Elife	www.ncbi.nlm.nih.gov/pubmed/34128465	Genetic architecture of 11 organ traits derived from abdominal MRI using deep learning.	Pancreas fat	25,617 European ancestry individuals	NA	Affymetrix [9390170] (imputed)	10			GCST90016675	Genome-wide genotyping array	./GCST90016001-GCST90017000/GCST90016675/harmonised/34128465-GCST90016675-EFO_0007800.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90016001-GCST90017000/GCST90016675/harmonised/34128465-GCST90016675-EFO_0007800.h.tsv.gz	nfe=25617	TRUE	TRUE
2021-08-13	34128465	Liu Y	2021-06-15	Elife	www.ncbi.nlm.nih.gov/pubmed/34128465	Genetic architecture of 11 organ traits derived from abdominal MRI using deep learning.	Pancreas iron content	25,617 European ancestry individuals	NA	Affymetrix [9390170] (imputed)	1	iron biomarker measurement	http://www.ebi.ac.uk/efo/EFO_0004461	GCST90016676	Genome-wide genotyping array	./GCST90016001-GCST90017000/GCST90016676/harmonised/34128465-GCST90016676-EFO_0004461.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90016001-GCST90017000/GCST90016676/harmonised/34128465-GCST90016676-EFO_0004461.h.tsv.gz	nfe=25617	TRUE	TRUE
2021-07-27	34187551	McCartney DL	2021-06-29	Genome Biol	www.ncbi.nlm.nih.gov/pubmed/34187551	Genome-wide association studies identify 137 genetic loci for DNA methylation biomarkers of aging.	DNA methylation-estimated granulocyte proportions	34,470 European ancestry individuals	NA	Affymetrix, Illumina [7568298] (imputed)	2	granulocyte count	http://www.ebi.ac.uk/efo/EFO_0007987	GCST90014287	Genome-wide genotyping array, Genome-wide sequencing, Exome genotyping array, Targeted genotyping array	./GCST90014001-GCST90015000/GCST90014287/harmonised/34187551-GCST90014287-EFO_0007987.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90014001-GCST90015000/GCST90014287/harmonised/34187551-GCST90014287-EFO_0007987.h.tsv.gz	nfe=34470	TRUE	TRUE
2021-07-27	34187551	McCartney DL	2021-06-29	Genome Biol	www.ncbi.nlm.nih.gov/pubmed/34187551	Genome-wide association studies identify 137 genetic loci for DNA methylation biomarkers of aging.	DNA methylation GrimAge acceleration	34,467 European ancestry individuals	NA	Affymetrix, Illumina [7568149] (imputed)	4	aging	http://purl.obolibrary.org/obo/GO_0007568	GCST90014288	Genome-wide genotyping array, Targeted genotyping array, Exome genotyping array, Genome-wide sequencing	./GCST90014001-GCST90015000/GCST90014288/harmonised/34187551-GCST90014288-GO_0007568.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90014001-GCST90015000/GCST90014288/harmonised/34187551-GCST90014288-GO_0007568.h.tsv.gz	nfe=34467	TRUE	TRUE
2021-07-27	34187551	McCartney DL	2021-06-29	Genome Biol	www.ncbi.nlm.nih.gov/pubmed/34187551	Genome-wide association studies identify 137 genetic loci for DNA methylation biomarkers of aging.	DNA methylation Hannum age acceleration	34,449 European ancestry individuals	NA	Affymetrix, Illumina [7565493] (imputed)	9	aging	http://purl.obolibrary.org/obo/GO_0007568	GCST90014289	Genome-wide genotyping array, Targeted genotyping array, Exome genotyping array, Genome-wide sequencing	./GCST90014001-GCST90015000/GCST90014289/harmonised/34187551-GCST90014289-GO_0007568.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90014001-GCST90015000/GCST90014289/harmonised/34187551-GCST90014289-GO_0007568.h.tsv.gz	nfe=34449	TRUE	TRUE
2021-07-27	34187551	McCartney DL	2021-06-29	Genome Biol	www.ncbi.nlm.nih.gov/pubmed/34187551	Genome-wide association studies identify 137 genetic loci for DNA methylation biomarkers of aging.	Intrinsic epigenetic age acceleration	34,461 European ancestry individuals	NA	Affymetrix, Illumina [7567980] (imputed)	24	aging	http://purl.obolibrary.org/obo/GO_0007568	GCST90014290	Genome-wide genotyping array, Targeted genotyping array, Exome genotyping array, Genome-wide sequencing	./GCST90014001-GCST90015000/GCST90014290/harmonised/34187551-GCST90014290-GO_0007568.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90014001-GCST90015000/GCST90014290/harmonised/34187551-GCST90014290-GO_0007568.h.tsv.gz	nfe=34461	TRUE	TRUE
2021-07-27	34187551	McCartney DL	2021-06-29	Genome Biol	www.ncbi.nlm.nih.gov/pubmed/34187551	Genome-wide association studies identify 137 genetic loci for DNA methylation biomarkers of aging.	DNA methylation-estimated plasminogen activator inhibitor-1 levels	34,448 European ancestry individuals	NA	Affymetrix, Illumina [7567618] (imputed)	5	plasminogen activator inhibitor 1 measurement	http://www.ebi.ac.uk/efo/EFO_0004792	GCST90014291	Genome-wide genotyping array, Targeted genotyping array, Exome genotyping array, Genome-wide sequencing	./GCST90014001-GCST90015000/GCST90014291/harmonised/34187551-GCST90014291-EFO_0004792.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90014001-GCST90015000/GCST90014291/harmonised/34187551-GCST90014291-EFO_0004792.h.tsv.gz	nfe=34448	TRUE	TRUE
